Course ID,Title,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Site,Subtitle_language_count,Duration in hours,count of column,,
32,Leading the Modern Day Business Specialization,,Business,Leadership and Management,Specialization,English,"Marketing,BusinessStrategy,LeadershipAndManagement,Storytelling,Innovation,TechnologyDisruption,DigitalTrends,CompetitiveLifecycle,DigitalStrategy,StrategicManagement,StrategicThinking,DesignThinking,","Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,",4.7,2699,Coursera,12,240,12,,
33,Graphic Design Specialization,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,Specialization,English,"VisualCommunication,BrandingCommunication,GraphicDesign,ArtHistory,Typography,Creativity,Graphics,DesignTheory,ColorTheory,AdobeIllustrator,History,AdobeIndesign,","Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",4.7,15224,Coursera,10,360,12,,
34,Security Analyst Fundamentals Specialization,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,Specialization,English,"threatintelligence,DigitalForensics,DataBreach,cybersecurityanalyst,ComputerSecurityIncidentManagement,scripting,forensics,PenetrationTest,Cybersecurity,ApplicationSecurity,networkdefensivetactics,securityanalyst,","IBM Security Learning Services ,",4.8,749,Coursera,9,240,12,,
35,Improve Your English Communication Skills Specialization,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,Specialization,English,"Professional,EmailWriting,Presentation,Writing,Communication,Stress,PublicSpeaking,Speech,","Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",4.8,15297,Coursera,18,300,8,,
36,Entrepreneurship Specialization,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,Specialization,English,"GrowthStrategies,ExitStrategy,Finance,Entrepreneurship,Discovery-DrivenPlanning,ElevatorPitch,Planning,BrandManagement,ChoosingAdvisors,Brand,StrategicManagement,Marketing,","Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",4.8,4764,Coursera,9,360,12,,
37,Foundations of Positive Psychology  Specialization,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,Specialization,English,"Gratitude,goalsetting,ResearchMethodology,Resilience,CharacterStrengthsAndVirtues,PositiveEducation,PositivePsychology,Savoring,Plan,Communication,Mindfulness,Flourishing,","Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",4.8,6479,Coursera,13,300,12,,
38,Data Science Specialization,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Science,Data Analysis,Specialization,English,"Github,MachineLearning,RProgramming,RegressionAnalysis,DataScience,Rstudio,DataAnalysis,Debugging,DataManipulation,RegularExpression(REGEX),DataCleansing,ClusterAnalysis,","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",4.5,38510,Coursera,13,660,12,,
39,Supply Chain Management Specialization,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business,Business Essentials,Specialization,English,"Forecasting,Logistics,SupplyChain,LeanSixSigma,SupplyChainRiskManagement,WarehouseManagement,LogisticsPlanning,Inventory,SixSigma,MicrosoftExcel,Planning,DemandForecasting,","Rudolf Leuschner, Ph.D. ,",4.8,11037,Coursera,12,360,12,,
40,Fintech: Foundations & Applications of Financial Technology Specialization,,Business,Business Essentials,Specialization,English,"InvestmentManagement,Cryptocurrency,regulation,Blockchain,","Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,",4.6,3316,Coursera,7,240,4,,
41,Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business,Business Essentials,Specialization,English,"Createandmaintainprofessionallookingdocuments,Createandeditaworkbookwithmultiplesheets,Representdatavisually,Createandmanagepresentations,DescribetheappsandservicesavailableinaMicrosoft365subscription,Documents,MicrosoftWord,MicrosoftExcel,Chart,Worksheet,MicrosoftPowerPoint,Presentation,"," Microsoft ,",4.7,1123,Coursera,1,300,12,,
